"","ensembl_gene_id","res","Identifier"
"170","ENSG00000140471","Downregulated","NM_001040614"
"171","ENSG00000100852","Downregulated","NM_001030055"
"172","ENSG00000132530","Downregulated","NM_001353134"
"173","ENSG00000186010","Upregulated","NM_015965"
"174","ENSG00000150556","Upregulated","NM_001317002"
"175","ENSG00000168734","Upregulated","NM_001281444"
"176","ENSG00000212864","Upregulated","NM_001388297"
"177","ENSG00000071189","Downregulated","NM_001350862"
"178","ENSG00000076201","Downregulated","NM_001304482"
"179","ENSG00000013016","Upregulated","NM_014600"
"180","ENSG00000213123","Upregulated","NM_001351628"
"181","ENSG00000083807","Upregulated","NM_001321196"
"182","ENSG00000177675","Upregulated","NM_001297650"
"183","ENSG00000185222","Upregulated","NM_001006612"
"184","ENSG00000127540","Upregulated","NM_006830"
"185","ENSG00000102921","Downregulated","NM_014664"
"186","ENSG00000154864","Upregulated","NM_001378183"
"187","ENSG00000186522","Upregulated","NM_001321496"
"188","ENSG00000152082","Upregulated","NM_001330282"
"189","ENSG00000158497","Upregulated","NM_021182"
"190","ENSG00000092964","Upregulated","NM_001197293"
"191","ENSG00000276072","Upregulated","NM_001411094"
"192","ENSG00000115419","Downregulated","NM_001256310"
"193","ENSG00000221887","Upregulated","NM_001123366"
"194","ENSG00000164219","Downregulated","NM_005023"
"195","ENSG00000164164","Downregulated","NM_001102653"
"196","ENSG00000283391","Upregulated","NM_001037663"
"197","ENSG00000160710","Downregulated","NM_001025107"
"198","ENSG00000137959","Downregulated","NM_001375646"
"199","ENSG00000203995","Upregulated","NM_001004339"
"200","ENSG00000117228","Downregulated","NM_002053"
"201","ENSG00000010256","Upregulated","NM_003365"
"202","ENSG00000170088","Downregulated","NM_001100389"
"203","ENSG00000077235","Upregulated","NM_001286242"
"204","ENSG00000273594","Upregulated","NM_001130053"
"205","ENSG00000100387","Upregulated","NM_014248"
"206","ENSG00000159685","Upregulated","NM_001320610"
"207","ENSG00000137492","Downregulated","NM_004705"
"208","ENSG00000178403","Upregulated","NM_024019"
"209","ENSG00000091039","Downregulated","NM_001003712"
"210","ENSG00000105379","Upregulated","NM_001014763"
"211","ENSG00000124243","Upregulated","NM_001010974"
"212","ENSG00000217555","Upregulated","NM_001040138"
"213","ENSG00000134072","Upregulated","NM_003656"
"214","ENSG00000184349","Upregulated","NM_001410773"
"215","ENSG00000136111","Upregulated","NM_001286658"
"216","ENSG00000110700","Upregulated","NM_001017"
"217","ENSG00000137825","Upregulated","NM_002220"
"218","ENSG00000031003","Downregulated","NM_001101800"
"219","ENSG00000055332","Downregulated","NM_001135651"
"220","ENSG00000104915","Upregulated","NM_001271609"
"221","ENSG00000196247","Downregulated","NM_001013746"
"222","ENSG00000083845","Upregulated","NM_001009"
"223","ENSG00000196730","Upregulated","NM_001288729"
"224","ENSG00000205542","Upregulated","NM_021109"
"225","ENSG00000138814","Downregulated","NM_000944"
"226","ENSG00000168118","Downregulated","NM_001271998"
"227","ENSG00000142937","Upregulated","NM_001012"
"228","ENSG00000158748","Upregulated","NM_000871"
"229","ENSG00000179119","Downregulated","NM_194285"
"230","ENSG00000163344","Upregulated","NM_001323011"
"231","ENSG00000188266","Upregulated","NM_001013619"
"232","ENSG00000118292","Upregulated","NM_001301039"
"233","ENSG00000154642","Downregulated","NM_001100420"
"234","ENSG00000139679","Downregulated","NM_001162497"
"235","ENSG00000174607","Downregulated","NM_001128174"
"236","ENSG00000147155","Upregulated","NM_006579"
"237","ENSG00000150455","Downregulated","NM_001039661"
"238","ENSG00000198931","Upregulated","NM_000485"
"239","ENSG00000112378","Upregulated","NM_022121"
"240","ENSG00000100030","Downregulated","NM_002745"
"241","ENSG00000001497","Upregulated","NM_001170649"
"242","ENSG00000132481","Upregulated","NM_033452"
"243","ENSG00000145425","Upregulated","NM_001006"
"244","ENSG00000131495","Upregulated","NM_001185012"
"245","ENSG00000159212","Upregulated","NM_001317009"
"246","ENSG00000093072","Downregulated","NM_001282225"
"247","ENSG00000116698","Downregulated","NM_001174061"
"248","ENSG00000183486","Downregulated","NM_002463"
"249","ENSG00000137038","Upregulated","NM_001318058"
"250","ENSG00000165168","Downregulated","NM_000397"
"251","ENSG00000144554","Upregulated","NM_001018115"
"252","ENSG00000125618","Upregulated","NM_003466"
"253","ENSG00000130560","Upregulated","NM_016172"
"254","ENSG00000100938","Upregulated","NM_001002000"
"255","ENSG00000152990","Upregulated","NM_145290"
"256","ENSG00000112306","Upregulated","NM_001016"
"257","ENSG00000135720","Downregulated","NM_001286157"
"258","ENSG00000134594","Upregulated","NM_004794"
"259","ENSG00000111224","Downregulated","NM_001286521"
"260","ENSG00000116898","Upregulated","NM_031280"
"261","ENSG00000205413","Downregulated","NM_001193307"
"262","ENSG00000185090","Upregulated","NM_001031740"
