"","ensembl_gene_id","res","Identifier"
"266","ENSG00000162878","Upregulated","NM_138370"
"267","ENSG00000188848","Downregulated","NM_001159547"
"268","ENSG00000133134","Upregulated","NM_001168399"
"269","ENSG00000141198","Upregulated","NM_001321173"
"270","ENSG00000104951","Upregulated","NM_001258017"
"271","ENSG00000014641","Upregulated","NM_001199111"
"272","ENSG00000142156","Upregulated","NM_001848"
"273","ENSG00000185344","Upregulated","NM_012463"
"274","ENSG00000062370","Upregulated","NM_001083335"
"275","ENSG00000133872","Downregulated","NM_001284239"
"276","ENSG00000078596","Downregulated","NM_001171581"
"277","ENSG00000132623","Upregulated","NM_001303472"
"278","ENSG00000070718","Upregulated","NM_001134296"
"279","ENSG00000140848","Upregulated","NM_152727"
"280","ENSG00000226071","Upregulated","NR_001435"
"281","ENSG00000107562","Upregulated","NM_000609"
"282","ENSG00000180071","Upregulated","NM_001331100"
"283","ENSG00000147180","Upregulated","NM_001330574"
"284","ENSG00000064547","Upregulated","NM_001395660"
"285","ENSG00000164465","Upregulated","NM_001366458"
"286","ENSG00000184445","Downregulated","NM_014708"
"287","ENSG00000131242","Upregulated","NM_001303542"
"288","ENSG00000112294","Upregulated","NM_001080"
"289","ENSG00000132432","Downregulated","NM_001012456"
"290","ENSG00000164742","Upregulated","NM_001281768"
"291","ENSG00000182134","Upregulated","NM_001083963"
"292","ENSG00000168297","Upregulated","NM_001289095"
"293","ENSG00000136156","Downregulated","NM_021999"
"294","ENSG00000226788","Upregulated","NM_002931"
"295","ENSG00000132109","Downregulated","NM_003141"
"296","ENSG00000204231","Upregulated","NM_001270401"
"297","ENSG00000152778","Downregulated","NM_012420"
"298","ENSG00000184524","Upregulated","NM_016564"
"299","ENSG00000114125","Downregulated","NM_001201370"
"300","ENSG00000065833","Upregulated","NM_002395"
"301","ENSG00000141179","Downregulated","NM_001102402"
"302","ENSG00000197584","Upregulated","NM_001278911"
"303","ENSG00000122643","Downregulated","NM_001002009"
"304","ENSG00000163482","Upregulated","NM_001243313"
"305","ENSG00000144136","Upregulated","NM_005415"
"306","ENSG00000108582","Upregulated","NM_001199775"
"307","ENSG00000186810","Upregulated","NM_001142797"
"308","ENSG00000254999","Downregulated","NM_018462"
"309","ENSG00000103037","Upregulated","NM_001160305"
"310","ENSG00000176381","Upregulated","NM_175922"
"311","ENSG00000112335","Downregulated","NM_001300928"
"312","ENSG00000114473","Upregulated","NM_001134435"
"313","ENSG00000204619","Upregulated","NM_021959"
"314","ENSG00000129675","Downregulated","NM_001306177"
"315","ENSG00000064763","Downregulated","NM_001271783"
"316","ENSG00000180758","Upregulated","NM_024980"
"317","ENSG00000169758","Upregulated","NM_152335"
"318","ENSG00000181788","Downregulated","NM_005067"
"319","ENSG00000124562","Downregulated","NM_003093"
"320","ENSG00000174915","Upregulated","NM_001329544"
"321","ENSG00000176293","Upregulated","NM_001164527"
"322","ENSG00000140564","Upregulated","NM_001289823"
"323","ENSG00000159166","Upregulated","NM_005558"
"324","ENSG00000040487","Upregulated","NM_001040125"
"325","ENSG00000143772","Upregulated","NM_001388404"
"326","ENSG00000135535","Downregulated","NM_001142401"
