"","ensembl_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","res","SYMBOL"
"5692","ENSG00000213339",0.193294573388447,5.06976936673967,1.58618650564763,0.125051791311924,0.460416375145101,-6.04857554084575,"NotSig","QTRT1"
"5693","ENSG00000187051",0.281023799467502,6.17751114512213,1.61886160806452,0.117811276997109,0.447718060833451,-6.04860061082648,"NotSig","RPS19BP1"
"5694","ENSG00000276042",1.01788629974452,0.358595633512046,0.796371183930675,0.433186545588288,0.760681330684869,-6.0489556539344,"NotSig","LILRB4"
"5695","ENSG00000135966",0.170662870697056,3.63226929270784,1.4758917221179,0.152245819633215,0.505090700636029,-6.04899310597725,"NotSig","TGFBRAP1"
"5696","ENSG00000156172",0.117988079254895,0.586219294495953,0.620422835987967,0.540498840046323,0.820748296066665,-6.04925364450874,"NotSig","CFAP418"
"5697","ENSG00000164022",0.348956141274871,1.34697002275864,1.20032772110368,0.241072011181349,0.616394263883582,-6.04978033516783,"NotSig","AIMP1"
"5698","ENSG00000141376",-0.669344154185398,2.90468112293925,-1.23787504384126,0.227066931571751,0.600401946275328,-6.05015636347584,"NotSig","BCAS3"
"5699","ENSG00000158161",0.186511036628075,3.57748477810902,1.46257547169796,0.155830562901113,0.510194513918559,-6.05043834612748,"NotSig","EYA3"
"5700","ENSG00000109680",0.241232713129615,1.2308357165911,0.950756529274409,0.3506751151461,0.710718268624285,-6.05050882211087,"NotSig","TBC1D19"
"5701","ENSG00000197646",-0.551648739594868,2.26767901781245,-1.10954920623652,0.277573337377263,0.648401152000948,-6.05079094800656,"NotSig","PDCD1LG2"
"5702","ENSG00000036054",-0.129627591820542,3.7239511948291,-1.47295657766387,0.153030195734701,0.506802257252715,-6.05079828993256,"NotSig","TBC1D23"
"5703","ENSG00000163428",-0.275253586451828,3.92163630069035,-1.48179060354324,0.150679236008715,0.502289461306551,-6.05099891461267,"NotSig","LRRC58"
"5704","ENSG00000108828",0.331671836041036,2.74335809560713,1.34762086911644,0.189661841579056,0.555367234670107,-6.05112714149352,"NotSig","VAT1"
"5705","ENSG00000185189",0.250559954084731,1.83674352253767,1.11470381558359,0.275399080387175,0.647530862675468,-6.05150068590598,"NotSig","NRBP2"
"5706","ENSG00000214435",0.251630534461529,0.492326486477703,0.53583958690937,0.596724286313743,0.851346489351051,-6.05154337282889,"NotSig","AS3MT"
"5707","ENSG00000116678",-0.045228558246743,0.0828605259856411,-0.140926431322302,0.88903818237386,0.968247798721519,-6.05220817431077,"NotSig","LEPR"
"5708","ENSG00000106692",0.194256024443772,2.03767435282693,1.15379173573638,0.259311795363687,0.631920132141194,-6.05228533835832,"NotSig","FKTN"
"5709","ENSG00000142168",0.234480621979525,8.11174862025949,1.62919660832717,0.115594966013195,0.444631004948069,-6.05237803992976,"NotSig","SOD1"
"5710","ENSG00000095370",-0.182990168383226,4.27024470790463,-1.516459091125,0.141733708379963,0.48747246812411,-6.05275062247391,"NotSig","SH2D3C"
"5711","ENSG00000100883",-0.140198731121821,6.57297323491647,-1.61931909770467,0.117712427481083,0.447709556619635,-6.05293577354916,"NotSig","SRP54"
"5712","ENSG00000235438",0.185356602511062,0.353378058735928,0.315432634136769,0.755006600422343,0.920710365938545,-6.05307885416904,"NotSig","LOC105370105"
"5713","ENSG00000165632",-0.157877153034858,2.22637757746832,-1.17751431621163,0.249890703314953,0.622559531222434,-6.05313222088117,"NotSig","TAF3"
"5714","ENSG00000101210",-0.387067476649691,0.199687461603314,-0.266817436825433,0.791760963959388,0.935729820713142,-6.05362746908623,"NotSig","EEF1A2"
"5715","ENSG00000277203",0.635551577769847,4.92350373878043,1.59220147529642,0.123691958301516,0.458347801377165,-6.054034517844,"NotSig",NA
"5716","ENSG00000283189",0.185792734369733,2.93280894365926,1.32794919080151,0.195988814954066,0.562347930603689,-6.05436380875104,"NotSig",NA
"5717","ENSG00000135341",0.0993327092545834,4.40157736610347,1.54664945817428,0.134300264673985,0.475520819239559,-6.05454735527243,"NotSig","MAP3K7"
"5718","ENSG00000184709",-0.614009633755503,1.189943330731,-0.672041804370251,0.507615840830541,0.801788735764546,-6.05464231054438,"NotSig","LRRC26"
"5719","ENSG00000107537",0.349931890420942,2.77057148215046,1.34650257741422,0.190017190247308,0.55584961930626,-6.05500895973268,"NotSig","PHYH"
"5720","ENSG00000123472",-0.166423422225659,5.66375595497283,-1.59964559641852,0.122025987816423,0.45485229986071,-6.05513270654135,"NotSig","ATPAF1"
"5721","ENSG00000281221",0.253709060385731,6.09019647259184,1.6140584400518,0.118853266194425,0.448532164503788,-6.0551934910895,"NotSig","PSMC4"
"5722","ENSG00000129566",0.155767706104242,4.22592295611014,1.5225680159292,0.140203109748719,0.486003119679846,-6.05573019668785,"NotSig","TEP1"
"5723","ENSG00000196747",0.363390393312988,1.48122927013338,0.981984014387233,0.33535624584492,0.699251596253537,-6.0558975451726,"NotSig","H2AC13"
"5724","ENSG00000183309",-0.179467467430664,0.434571854995029,-0.574551721754562,0.570641482152985,0.839975108072803,-6.05614271153767,"NotSig","ZNF623"
"5725","ENSG00000278023",-0.0230813742137612,-0.109550235774299,-0.0244916463551161,0.980651575379995,0.99320379528407,-6.05682431362525,"NotSig","RDM1"
"5726","ENSG00000123096",-0.0090398544167221,0.0235556693942413,-0.0110141198989662,0.991298113255971,0.996804905910083,-6.05707783791841,"NotSig","SSPN"
"5727","ENSG00000278129",-0.0524058256332975,0.239527096495429,-0.227894011626106,0.82155061757667,0.942931456671426,-6.05711638380283,"NotSig","ZNF8"
"5728","ENSG00000157782",-0.633233136058986,1.38547335394114,-0.726644605714217,0.474078228262117,0.784113032324689,-6.05739179561633,"NotSig","CABP1"
"5729","ENSG00000167721",0.184574745098757,5.09019715558902,1.58400805780952,0.125547320038474,0.461358332070511,-6.05751880320001,"NotSig","TSR1"
"5730","ENSG00000241014",0.0854395430582926,0.238836253005931,0.355886933845309,0.724859917571434,0.908426328698202,-6.05823648993316,"NotSig","GPR199P"
"5731","ENSG00000235944",-0.0056098037666187,0.10130839699726,-0.0168161195366801,0.986714519513637,0.995301195484977,-6.05842117133418,"NotSig",NA
"5732","ENSG00000106125",-0.0622533329233447,0.265563593530139,-0.149071342428042,0.882672940523369,0.966172981782289,-6.06009857166149,"NotSig","MINDY4"
"5733","ENSG00000166321",-0.287972091346282,1.45430210619569,-0.807738796445058,0.426730509463806,0.755920451924432,-6.06100937071971,"NotSig","NUDT13"
"5734","ENSG00000138399",0.210491708983119,5.07507910203129,1.58398737340259,0.125552032853455,0.461358332070511,-6.0613965097472,"NotSig","FASTKD1"
"5735","ENSG00000175155",-0.294709264162051,0.609028280927817,-0.537332817347454,0.595707605691212,0.851276812059253,-6.06152092530359,"NotSig","YPEL2"
"5736","ENSG00000245958",0.261244369137867,4.28525485128274,1.52945584256141,0.138493544628913,0.482112457103126,-6.06203590720859,"NotSig",NA
"5737","ENSG00000175782",-0.23416598773444,0.999492519238581,-0.6787833834898,0.503404763451369,0.798941934211672,-6.06246303220522,"NotSig","SLC35E3"
"5738","ENSG00000235233",0.684480238248188,0.31262577902882,0.762131949291967,0.452990728798624,0.77286242612589,-6.0624646708395,"NotSig","MICA"
"5739","ENSG00000198205",-0.0216915989945703,0.140499163292408,-0.0808107707330889,0.936224922664945,0.983251957406977,-6.06248264317446,"NotSig","ZXDA"
"5740","ENSG00000206291",1.83786012518226,0.198726257486152,1.30071751063205,0.205016216973299,0.572261151475532,-6.06259027421987,"NotSig","HLA-DPA1"
"5741","ENSG00000174529",0.0810617824513004,0.532968850131203,0.477128023615296,0.637344913618153,0.870900009252725,-6.06278515744128,"NotSig","TMEM81"
"5742","ENSG00000137312",2.01617319514643,2.35155419101376,1.5022994355323,0.145333750051859,0.493263804150348,-6.06285023267924,"NotSig","FLOT1"
"5743","ENSG00000170989",-0.438926028504822,4.79897175152581,-1.5484223356379,0.133873862442449,0.475284583104386,-6.06316354066295,"NotSig","S1PR1"
"5744","ENSG00000127585",-0.0877202697096584,0.16466325037288,-0.199379727701552,0.843550967325215,0.950574013292898,-6.06327419414986,"NotSig","FBXL16"
"5745","ENSG00000055070",0.110295096459827,6.73605223917396,1.61417676947983,0.118827504376565,0.448532164503788,-6.06339322061428,"NotSig","SZRD1"
"5746","ENSG00000204623",0.19926125199093,1.11230144537965,0.847548311387877,0.404594212055583,0.743885893711212,-6.06372222897441,"NotSig","POLR1HASP"
"5747","ENSG00000171853",0.161294185477931,4.51944757869675,1.54943781832243,0.133630124668922,0.474929657712517,-6.06375113684568,"NotSig","TRAPPC12"
